,Sentence,Word,Entity,postag,bio_tag
0,0,treatment-accompanied,O,JJ,O
1,0,psychosocial,NPI,NN,B-NPI
2,0,care,O,NN,O
3,0,pediatric,O,NN,O
4,0,cancer,DI,NN,B-DI
5,0,families,O,NNS,O
6,0,quite,O,RB,O
7,0,established,O,VBN,O
8,0,nowadays.,O,NN,O
9,0,family-oriented,NPI,JJ,B-NPI
10,0,psychosocial,NPI,NN,I-NPI
11,0,intervention,O,NN,O
12,0,program,O,NN,O
13,0,evaluated.,O,NN,O
14,0,76,O,CD,O
15,0,parents,O,NNS,O
16,0,filled,O,VBN,O
17,0,questionnaire,O,NN,O
18,0,utilization,O,NN,O
19,0,efficiency,O,NN,O
20,0,different,O,JJ,O
21,0,parts,O,NNS,O
22,0,program.,O,NN,O
23,0,results,O,NNS,O
24,0,show,O,NN,O
25,0,efficiency,O,NN,O
26,0,intervention,O,NN,O
27,0,program,O,NN,O
28,0,high.,O,NN,O
29,0,nationality,O,NN,O
30,0,families,O,NNS,O
31,0,socioeconomic,O,JJ,O
32,0,status,O,NN,O
33,0,und,O,NN,O
34,0,presence,O,NN,O
35,0,relapse,O,NN,O
36,0,cancer,DI,NN,B-DI
37,0,important,O,JJ,O
38,0,predictors,O,NNS,O
39,0,taking,O,VBG,O
40,0,part,O,NN,O
41,0,different,O,JJ,O
42,0,parts,O,NNS,O
43,0,program.,O,NN,O
44,0,parents,O,NNS,O
45,0,reported,O,VBD,O
46,0,positive,O,JJ,O
47,0,psychosocial,NPI,NN,B-NPI
48,0,intervention,O,NN,O
49,0,program,O,NN,O
50,0,consisted,O,VBN,O
51,0,gain,O,NN,O
52,0,information,O,NN,O
53,0,better,O,RBR,O
54,0,intrafamiliar,O,NN,O
55,0,communication.,O,NN,O
56,0,conclusion,O,NN,O
57,0,evaluation,O,NN,O
58,0,showed,O,VBD,O
59,0,high,O,JJ,O
60,0,acceptance,O,NN,O
61,0,family-oriented,NPI,JJ,B-NPI
62,0,psychosocial,NPI,NN,I-NPI
63,0,intervention,O,NN,O
64,0,program,O,NN,O
65,0,positive,O,JJ,O
66,0,whole,O,JJ,O
67,0,family,O,NN,O
68,0,.,O,.,O
69,1,identified,O,VBN,O
70,1,unscreened,O,JJ,O
71,1,women,O,NNS,O
72,1,average,O,JJ,O
73,1,risk,O,NN,O
74,1,crc,O,NN,O
75,1,scheduling,O,VBG,O
76,1,databases,O,NNS,O
77,1,obstetrics,O,NNS,O
78,1,gynecology,O,NN,O
79,1,practices,O,NNS,O
80,1,2,O,CD,O
81,1,large,O,JJ,O
82,1,health,O,NN,O
83,1,care,O,NN,O
84,1,systems.,O,NN,O
85,1,participants,O,NNS,O
86,1,consented,O,VBN,O
87,1,controlled,O,VBN,O
88,1,trial,O,NN,O
89,1,compared,O,VBN,O
90,1,crc,O,NN,O
91,1,screening,O,VBG,O
92,1,uptake,O,NN,O
93,1,receipt,O,NN,O
94,1,crc,O,NN,O
95,1,screening,O,VBG,O
96,1,information,O,NN,O
97,1,delivered,O,VBN,O
98,1,via,O,IN,O
99,1,web,NPI,NN,B-NPI
100,1,print,O,NN,O
101,1,form.,O,NN,O
102,1,participants,O,NNS,O
103,1,could,O,MD,O
104,1,also,O,RB,O
