,pmid,introduction,methods,resultats,conclusion
0,17578061,"To examine the potential impact of elderly age on response to participation in a structured, multidisciplinary quality-of-life (QOL) intervention for patients with advanced cancer undergoing radiation therapy.","Study design was a randomized stratified, two group, controlled clinical trial in the setting of a tertiary care comprehensive cancer center. Subjects with newly diagnosed cancer and an estimated 5-year survival rate of 0%-50% who required radiation therapy were recruited and randomly assigned to either an intervention group or a standard care group. The intervention consisted of eight 90-min sessions designed to address the five QOL domains of cognitive, physical, emotional, spiritual, and social functioning. QOL was measured using Spitzer uniscale and linear analogue self-assessment (LASA) at baseline and weeks 4, 8, and 27.","Of the 103 study participants, 33 were geriatric (65 years or older), of which 16 (mean age 72.4 years) received the intervention and 17 (mean age 71.4 years) were assigned to the standard medical care. The geriatric participants who completed the intervention had higher QOL scores at baseline, at week 4 and at week 8, compared to the control participants.","Our results demonstrate that geriatric patients with advanced cancer undergoing radiation therapy will benefit from participation in a structured multidisciplinary QOL intervention. Therefore, geriatric individuals should not be excluded from participating in a cancer QOL intervention, and, in fact, elderly age may be an indicator of strong response to a QOL intervention. Future research should further explore this finding."
1,29266524,Cognitive dysfunction associated with cancer is frequently reported and can reduce quality of life. This study evaluated a Web-based cognitive rehabilitation therapy program (eReCog) in cancer survivors compared with a waitlist control group.,"Adult cancer survivors with self-reported cognitive symptoms who had completed primary treatment at least 6\u00a0months prior were recruited. Participants completed telephone screening and were randomly allocated to the 4-week online intervention or waitlist. Primary outcome was perceived cognitive impairment assessed with the Functional Assessment of Cancer Therapy-Cognitive Function version 3. Secondary outcomes were additional measures of subjective cognitive functioning, objective cognitive functioning, and psychosocial variables.",Seventy-six women were allocated to the intervention (n\u00a0=\u00a040) or waitlist (n\u00a0=\u00a036). A significant interaction was found on the instrumental activities of daily living measure of self-reported prospective memory whereby the intervention group reported a greater reduction in prospective memory failures than the waitlist group. Interaction trends were noted on perceived cognitive impairments (P\u00a0=\u00a0.089) and executive functioning (P\u00a0=\u00a0.074). No significant interactions were observed on other measures of objective cognitive functioning or psychosocial variables.,The Web-based intervention shows promise for improving self-reported cognitive functioning in adult cancer survivors. Further research is warranted to better understand the mechanisms by which the intervention might contribute to improved self-reported cognition.
2,28708930,"Testicular cancer survivors (TCS) have an increased risk of treatment-related cardiovascular disease (CVD), which may limit their overall survival. We evaluated the effects of high-intensity aerobic interval training (HIIT) on traditional and novel CVD risk factors and surrogate markers of mortality in a population-based sample of TCS.","This phase 2 trial (ClinicalTrials.gov identifier NCT02459132) randomly assigned 63 TCS to usual care (UC) or 12 weeks of supervised HIIT (ie, alternating periods of vigorous-intensity and light-intensity aerobic exercise). The primary outcome was peak aerobic fitness (VO ) assessed via a treadmill-based maximal cardiorespiratory exercise test. Secondary endpoints included CVD risk (eg, Framingham Risk Score), arterial health, parasympathetic nervous system function, and blood-based biomarkers.","Postintervention VO data were obtained for 61 participants (97%). HIIT participants attended 99% of the exercise sessions and achieved 98% of the target exercise intensity. Analysis of covariance demonstrated that HIIT was superior to UC for improving VO (adjusted between-group mean difference, 3.7\u2009mL O /kg/min; 95% confidence interval, 2.4-5.1 [P&lt;.001]) and multiple secondary outcomes including CVD risk (P\u2009=\u2009.011), arterial thickness (P&lt;.001), arterial stiffness (P&lt;.001), postexercise parasympathetic reactivation (P\u2009=\u2009.001), inflammation (P\u2009=\u2009.045), and low-density lipoprotein (P\u2009=\u2009.014). Overall, HIIT reduced the prevalence of modifiable CVD risk factors by 20% compared with UC.","This randomized trial provides the first evidence that HIIT improves cardiorespiratory fitness, multiple pathways of CVD risk, and surrogate markers of mortality in TCS. These findings have important implications for the management of TCS. Further research concerning the long-term effects of HIIT on CVD morbidity and mortality in TCS is warranted. Cancer 2017;123:4057-65. \u00a9 2017 American Cancer Society."
3,15454833,"An open-label, matched-pair (by diagnosis, stage of disease, age, and gender) pilot clinical trial was conducted to test whether the combined administration of the medical nutriment MSC (Avemar) with cytotoxic drugs and the continued administration of MSC on its own help to reduce the incidence of treatment-related febrile neutropenia in children with solid cancers compared with the same treatments without MSC.","Between December 1998 and May 2002, 22 patients (11 pairs) were enrolled in this study. At baseline, the staging of the tumors was the same in each pair (mostly pTNM = T2N0M0), with the exception of two cases in which patients in the MSC group had worse prognoses (metastasis at baseline). There were no significant differences in the average age of the patients, the length of treatment time (MSC) or follow-up, the number of patients with central venous catheters, the number of chemotherapy cycles, the frequency of preventive counterneutropenic interventions, or the type and dosage of antibiotic and antipyretic therapy used in the two groups.","During the treatment (follow-up) period, there was no progression of the malignant disease, whereas at end-point the number and frequency of febrile neutropenic events significantly differed between the two groups: 30 febrile neutropenic episodes (24.8%) in the MSC group versus 46 (43.4%) in the control group (Wilcoxon signed rank test, P &lt; 0.05).",The continuous supplementation of anticancer therapies with the medical nutriment MSC helps to reduce the incidence of treatment-related febrile neutropenia in children with solid cancers.
4,16353199,"Calcium and vitamin D are chemopreventive agents for colorectal neoplasia. Studies of the effects of calcium and vitamin D on early surrogate markers of reduced risk, such as proliferation, have been limited to evaluation of the flat colorectal mucosa. Biologic changes that may occur in colorectal adenomas after chemopreventive regimens have not been reported.","In the current study, adenomatous polyps were transected, approximately 50% were removed for histologic examination, and the remnants tattooed before the administration of either calcium carbonate (1500 mg 3 times daily) plus vitamin D(3) 400 IU or a placebo for 6 months. At study end, polyp remnants were resected completely and were used for histologic examination. Immunohistochemical staining was performed in both flat mucosa and in polyp tissue. Proliferation was assessed by MIB-1 staining; apoptosis was assessed by terminal deoxyuridine triphosphate-biotin nick-end labeling, BAK, and Bcl-2 staining; and cytokeratin AE1, vitamin D receptor, MUC5AC mucin, and galectin-3 were assessed by immunohistochemistry.","Nineteen patients, including 11 patients in the treatment group and 8 patients in the control group, completed the study. Proliferative indices fell both in flat mucosa and in polyps in the treatment group, and there were no significant changes in the control group. Apoptosis and Bcl-2 immunostaining were unchanged in both groups, but the frequency of BAK-immunostained cells in the interior of polyps rose significantly. Vitamin D receptor staining increased slightly and significantly in flat rectal tissue in the treatment group. There were no significant changes in galectin-3 staining, but a striking reduction in MUC5AC mucin staining in polyps was observed after treatment with calcium plus vitamin D.",The administration of a calcium plus vitamin D chemopreventive regimen resulted in several changes in adenomatous tissue that may have contributed to reduced polyp formation.
5,29086085,"A home-based, low-intensity physical activity program (Onco-Move) and a supervised, moderate-to-high intensity, combined resistance and aerobic exercise program (OnTrack) have proven to be effective in maintaining physical fitness and reducing fatigue among breast cancer patients undergoing adjuvant chemotherapy. This study evaluated the cost-utility and cost-effectiveness of Onco-Move and OnTrack.","A total of 230 patients were randomized to Onco-Move, OnTrack, or usual care (UC). Health outcomes included quality-adjusted life years (QALYs), general and physical fatigue, and physical fitness measured at baseline, end of chemotherapy, and 6-month follow-up. Societal costs included professional and informal health care, work absenteeism, and unpaid productivity costs. Cost data were based on 3-monthly questionnaires, supplemented by medication data obtained from pharmacies.","Onco-Move is not likely to be cost-effective due to the relatively high willingness-to-pay necessary to reach reasonable probabilities of cost-effectiveness (QALY, general and physical fatigue). Incremental cost-effectiveness ratios for OnTrack compared to UC were \u20ac26,916/QALY, \u20ac788/1-point decrease in general fatigue and \u20ac1402/1-point decrease in physical fatigue. The probability of OnTrack being cost-effective ranged from 31% at a willingness-to-pay (WTP) of \u20ac0-79% at a WTP of \u20ac80,000/QALY, 97% at a WTP of \u20ac15,000/1-point decrease in general fatigue, and 86% at a WTP of \u20ac24,000/1-point decrease in physical fatigue. Both interventions had a low probability of being cost-effective for physical fitness. The probability of cost-effectiveness for both interventions was greater among compliant participants.","Onco-Move is not likely to be cost-effective. Depending on the decision-makers' willingness-to-pay, OnTrack could be considered cost-effective in comparison with UC. Trial registration Clinical trial registration number of the Netherlands Trial Register-NTR2159."
6,19341012,"A plethora of research now exists documenting the benefits of psychosocial interventions for cancer patients; however, no studies have been conducted with people diagnosed with hepatobiliary carcinoma.","A total of 28 patients agreed to participate in the study in which 14 patients were randomized to the intervention arm of the study and 14 patients to an attention-standard of care arm. Evaluation of the benefits of the intervention was performed using the Functional Assessment of Cancer Therapy-Hepatobiliary (FACT-Hep), the Center for Epidemiological Studies-Depression, the State Trait Anxiety Index (STAI) to assess anxiety, peripheral blood leukocytes to measure immune system modulation, and survival.","Results indicate that patients who were randomly assigned to the intervention arm of the study reported clinically, but not statistically, significant improvements on symptoms of depression and anxiety, disease-related symptoms and treatment side effects, health-related quality of life (HRQL), and modest improvements in peripheral blood leukocytes and survival when compared with the standard of care group.","The findings of this study suggest that the individually tailored intervention was feasible and preliminary data suggested that the intervention may improve patients' HRQL, mood, and had modest improvements in immune system functioning and survival. Further research is needed with a larger sample size to test the statistical significance and generalizability of the individually tailored intervention."
7,25567329,"The aim of the study was to compare the effects of aerobic exercise training and yoga on the functional capacity, peripheral muscle strength, quality of life (QOL), and fatigue in breast cancer survivors.","A total of 52 patients with a diagnosis of breast cancer were included in the study. The patients were randomly assigned to 2 groups: aerobic exercise (n = 28) and yoga added to aerobic exercise (n = 24). Both groups participated in submaximal exercise 30 minutes/d, 3 d/wk for 6 weeks. The second group participated in a 1-hour yoga program in addition to aerobic exercise training. Functional capacity was assessed by the 6-Minute Walk Test (6MWT). Peripheral muscle strength was evaluated with a hand-held dynamometer. The fatigue severity level was assessed with the Fatigue Severity Scale (FSS). The QOL was determined by the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire.","There were statistically significant increases in peripheral muscle strength, the 6MWT distance, and the perception of QOL in both groups (P &lt; .05). Additionally, the group with aerobic exercise and yoga showed marked improvement compared with the aerobic exercise group in fatigue perception (P &lt; .05).","According to the data from this study, aerobic exercise training and yoga improved the functional capacity and QOL of breast cancer patients. Aerobic exercise programs can be supported by body mind techniques, such as yoga, in the rehabilitation of cancer patients for improving functional recovery and psychosocial wellness."
8,18381369,"Fatigue is a relevant problem of cancer patients during and after treatment. Several studies have shown that exercise can improve quality of life and functional status of cancer patients undergoing chemo- or radiotherapy. However, there is a lack of information about the effects of this intervention on persistent cancer-related fatigue. Therefore, we assessed the effects of an exercise program on cancer-related fatigue after treatment.","A consecutive series of 32 cancer patients with mild to severe persistent fatigue [scores on the Brief Fatigue Inventory (BFI) &gt; 25] participated in a 3-week exercise program consisting of endurance (30 min walking on a treadmill) and resistance/coordination exercises for the major muscle groups. Fatigue, mood, and anxiety were assessed with questionnaires and physical performance with a stress test before and after the program.","At the end of the program, we observed a significant increase of physical performance (workload at the anaerobic threshold pre 61 +/- 26 W, post 78 +/- 31 W, P &lt; 0.0001) and reduction of global fatigue (Functional Assessment of Cancer Therapy: pre 45.7 +/- 13.4, post 52.6 +/- 12.4, P &lt; 0.0001; BFI: pre 37.9 +/- 18.3, post 31.2 +/-17.1, P &lt; 0.001). However, no significant improvement of cognitive fatigue or reduction of anxiety was observed.","A 3-week exercise program leads to a substantial improvement of physical performance and reduction of mental and physical fatigue in cancer patients after treatment. However, this intervention does not affect depression, anxiety, or cognitive fatigue."
9,11197251,"Dietary folate intake is inversely associated with the risk of colorectal cancer. This study investigated the effect of folate supplementation on genomic DNA methylation and DNA strand breaks in exons 5-8 of the p53 gene of the colonic mucosa, two provisional biomarkers of colon cancer.","Twenty subjects with adenomas were randomized to receive either folate (5 mg/day) or placebo for 1 yr after polypectomy. At baseline, 6 months and 1 yr, systemic and colonic measures of folate status were determined, as were the biomarkers mentioned earlier.","Folate supplementation increased serum, red blood cell and colonic mucosal folate concentrations (p &lt; 0.02). Folate supplementation also increased the extent of genomic DNA methylation at 6 months and 1 yr (p = 0.001), whereas placebo administration was associated with an increase in the extent of genomic DNA methylation only at 1 yr. Similarly, folate supplementation decreased the extent of p53 strand breaks in exons 5-8 at 6 months and 1 yr (p &lt; 0.02), whereas placebo administration was associated with a decrease in the extent of p53 strand breaks only at 1 yr.","Both of these provisional biomarkers of colon cancer underwent accelerated improvement at 6 months with folate supplementation. However, these markers also improved with placebo at 1 yr. Therefore, potential confounding factors that seem to modulate these biomarkers need to be identified and corrected in order for these markers to serve as suitable surrogate endpoints in folate chemoprevention trials."
