,Sentence_id,pmid,sentence,tag
0,0,17578061,"To examine the potential impact of elderly age on response to participation in a structured, multidisciplinary quality-of-life (QOL) intervention for patients with advanced cancer undergoing radiation therapy",introduction
1,0,17578061,,introduction
2,1,29266524,Cognitive dysfunction associated with cancer is frequently reported and can reduce quality of life,introduction
3,1,29266524, This study evaluated a Web-based cognitive rehabilitation therapy program (eReCog) in cancer survivors compared with a waitlist control group,introduction
4,1,29266524,,introduction
5,2,28708930,"Testicular cancer survivors (TCS) have an increased risk of treatment-related cardiovascular disease (CVD), which may limit their overall survival",introduction
6,2,28708930, We evaluated the effects of high-intensity aerobic interval training (HIIT) on traditional and novel CVD risk factors and surrogate markers of mortality in a population-based sample of TCS,introduction
7,2,28708930,,introduction
8,3,15454833,"An open-label, matched-pair (by diagnosis, stage of disease, age, and gender) pilot clinical trial was conducted to test whether the combined administration of the medical nutriment MSC (Avemar) with cytotoxic drugs and the continued administration of MSC on its own help to reduce the incidence of treatment-related febrile neutropenia in children with solid cancers compared with the same treatments without MSC",introduction
9,3,15454833,,introduction
10,4,16353199,Calcium and vitamin D are chemopreventive agents for colorectal neoplasia,introduction
11,4,16353199," Studies of the effects of calcium and vitamin D on early surrogate markers of reduced risk, such as proliferation, have been limited to evaluation of the flat colorectal mucosa",introduction
12,4,16353199, Biologic changes that may occur in colorectal adenomas after chemopreventive regimens have not been reported,introduction
13,4,16353199,,introduction
14,5,29086085,"A home-based, low-intensity physical activity program (Onco-Move) and a supervised, moderate-to-high intensity, combined resistance and aerobic exercise program (OnTrack) have proven to be effective in maintaining physical fitness and reducing fatigue among breast cancer patients undergoing adjuvant chemotherapy",introduction
15,5,29086085, This study evaluated the cost-utility and cost-effectiveness of Onco-Move and OnTrack,introduction
16,5,29086085,,introduction
17,6,19341012,"A plethora of research now exists documenting the benefits of psychosocial interventions for cancer patients; however, no studies have been conducted with people diagnosed with hepatobiliary carcinoma",introduction
18,6,19341012,,introduction
19,7,25567329,"The aim of the study was to compare the effects of aerobic exercise training and yoga on the functional capacity, peripheral muscle strength, quality of life (QOL), and fatigue in breast cancer survivors",introduction
20,7,25567329,,introduction
21,8,18381369,Fatigue is a relevant problem of cancer patients during and after treatment,introduction
22,8,18381369, Several studies have shown that exercise can improve quality of life and functional status of cancer patients undergoing chemo- or radiotherapy,introduction
23,8,18381369," However, there is a lack of information about the effects of this intervention on persistent cancer-related fatigue",introduction
24,8,18381369," Therefore, we assessed the effects of an exercise program on cancer-related fatigue after treatment",introduction
25,8,18381369,,introduction
26,9,11197251,Dietary folate intake is inversely associated with the risk of colorectal cancer,introduction
27,9,11197251," This study investigated the effect of folate supplementation on genomic DNA methylation and DNA strand breaks in exons 5-8 of the p53 gene of the colonic mucosa, two provisional biomarkers of colon cancer",introduction
28,9,11197251,,introduction
29,10,23730723,Physical activity (PA) has been shown to provide health benefits for breast cancer patients,introduction
30,10,23730723, The effects of augmenting oncology health care provider (HCP) advice for PA with 3 months of telephone counseling versus contact control were evaluated in a randomized trial,introduction
31,10,23730723,,introduction
32,11,17575569,This study aimed to assess the impact on physicians' detection of patients' and relatives' distress of six 3-h consolidation workshops (CW) following a 2,introduction
33,11,17575569,5-day communication skills basic training (BT) program and to investigate factors associated with detection of distress,introduction
34,11,17575569,,introduction
35,12,24448757,"Evaluating the role of cystone, a polyherbal preparation, in protecting cancer patients against cisplatin-induced nephrotoxicity, and its impact on the cytotoxic activity of cisplatin",introduction
36,12,24448757,,introduction
37,13,7651642,"To determine whether a clinic-based intervention, consisting of motivational brochures and a tracking system, increases adherence to recommendations for treatment in women with abnormal Papanicolaou smears",introduction
38,13,7651642,,introduction
39,14,28597253,Oral agents for cancer treatment are increasingly prescribed due to their benefits,introduction
40,14,28597253," However, oral cancer medications are difficult to handle and have a considerable potential for side effects",introduction
41,14,28597253, This type of therapy requires a high level of self-management competence by the patient,introduction
42,14,28597253, A standardized patient education program provided by physicians and oncology nurses may positively influence the handling of oral agents,introduction
43,14,28597253, The aim of the study was to evaluate the impact of a standardized patient education program provided by specially trained oncology nurses on therapy management regarding side effects and unplanned therapy interruptions,introduction
44,14,28597253,,introduction
45,15,16030104,Evidence of the chemopreventive effects of the dietary antioxidants alpha-tocopherol (vitamin E) and l-selenomethionine (selenium) comes from secondary analysis of two phase III clinical trials that found treatment with these antioxidants reduced the incidence of prostate cancer,introduction
46,15,16030104," To determine the effects of selenium and vitamin E in blood and prostate tissue, we undertook a preoperative feasibility study complementary to the currently ongoing Selenium and Vitamin E Cancer Prevention Trial",introduction
47,15,16030104,,introduction
48,16,16130584,To investigate the potential efficacy of bowel cancer prevention messages in increasing intentions to be more physically active,introduction
49,16,16130584,,introduction
50,17,11380221,Xerostomia is a frequent and potentially debilitating toxicity of radiotherapy (XRT) for cancers of the head and neck,introduction
51,17,11380221, This report describes the use of acupuncture as palliation for such patients,introduction
52,17,11380221,,introduction
53,18,30464699,Physical function is important for defining treatment strategies in patients with cancer and can be estimated using patient-reported outcomes (pros),introduction
54,18,30464699," Although pros are subjective, physical activity and fitness can be tested objectively with adequate, but more labour-intensive methods that are rarely used in daily clinical practice",introduction
55,18,30464699," To determine whether pros for physical function (pro-pf) accurately predict physical function, we studied their interrelationships with objective measures of physical activity and fitness in patients with cancer who had completed cancer treatment, including adjuvant or neoadjuvant chemotherapy or autologous stem-cell transplantation",introduction
56,18,30464699,,introduction
57,19,28832310,Shared decision making (SDM) is widely encouraged by both the American Urological Association and Choosing Wisely for prostate cancer screening,introduction
58,19,28832310, Implementation of SDM is challenging secondary to time constraints and competing patient priorities,introduction
59,19,28832310, One strategy to mitigate the difficulties in implementing SDM is to utilize a decision aid (DA),introduction
60,19,28832310, Here we evaluate whether a DA improves a patient's prostate cancer knowledge and affects prostate-specific antigen (PSA) screening rates,introduction
61,19,28832310,,introduction
62,20,8602179,"Observational studies suggest that people who consume more fruits and vegetables containing beta carotene have somewhat lower risks of cancer and cardiovascular disease, and earlier basic research suggested plausible mechanisms",introduction
63,20,8602179," Because large randomized trials of long duration were necessary to test this hypothesis directly, we conducted a trial of beta carotene supplementation",introduction
64,20,8602179,,introduction
65,21,27212181,Breast fibroadenoma is a common finding in young women and actually accounts for the majority of benign breast lumps,introduction
66,21,27212181, Fibroadenoma does not require any treatment unless clinical symptoms (mostly mastalgia) or histological markers of cancer risk (atypia) impose specific medical or surgical intervention,introduction
67,21,27212181," In symptomatic fibroadenoma, anti-estrogenic treatments provided evidence of success",introduction
68,21,27212181," Yet, these therapies are often associated with relevant side effects that lead to drug treatment discontinuation",introduction
69,21,27212181," Additionally, in such cases, relapse is a frequent issue",introduction
70,21,27212181," Therefore, an optimal strategy is still warranted",introduction
71,21,27212181," Boswellia, betaine and myo-inositol have already been proved to modulate different pathways - inflammatory, metabolic, oxidative and endocrine processes - in a wide array of human tissues",introduction
72,21,27212181," Based on that background, we hypothesized that these substances can effectively synergize in inducing the regression of fibroadenoma",introduction
73,21,27212181,,introduction
74,22,14503054,"To observe the effect of Weichang'an (WCA, a Chinese preparation) in preventing post-operative metastasis of progressive stage of gastric cancer",introduction
75,22,14503054,,introduction
76,23,30613055,The purpose of this study was to examine the effects of integrated psychoeducational program for distress management of newly diagnosed patients with breast cancer,introduction
77,23,30613055,,introduction
78,24,19058068,Diagnosis of ovarian cancer often portends a poor prognosis with significant quality-of-life (QOL) concerns,introduction
79,24,19058068,,introduction
80,25,25050872,We developed a specific cognitive-existential intervention to improve existential distress in nonmetastatic cancer patients,introduction
81,25,25050872," The present study reports the feasibility of implementing and evaluating this intervention, which involved 12 weekly sessions in both individual and group formats, and explores the efficacy of the intervention on existential and global quality of life (QoL) measures",introduction
82,25,25050872,,introduction
83,26,16189949,"As they reach menopause, a majority of women living in Westernized countries experience climacteric symptoms",introduction
84,26,16189949, Hormone replacement therapy (HRT) has been used to remediate these symptoms,introduction
85,26,16189949," Recent studies, however, have suggested that HRT may increase the risk of developing breast cancer and cardiovascular disease (CVD)",introduction
86,26,16189949," Therefore, many women are looking for alternative treatment options",introduction
87,26,16189949,,introduction
88,27,12576840,We performed a pilot trial to assess the response of lower urinary tract symptoms and prostate specific antigen (PSA) to acupuncture in a population of patients biopsy negative for prostate cancer,introduction
89,27,12576840,,introduction
90,28,16832795,"Identifying high-risk individuals for melanoma education and risk reduction may be a viable strategy to curb the incidence of melanoma, which has risen precipitously in the past 50 years",introduction
91,28,16832795, The first-degree relatives of melanoma patients represent a risk group who may experience a 'teachable moment' for enhanced education and risk reduction,introduction
92,28,16832795,,introduction
93,29,11440064,Physicians may not realize that some of their patients have limited reading abilities,introduction
94,29,11440064, The AMC Cancer Research Center and the Primary Care Curriculum at the University of Colorado collaborated to develop and implement a project to teach medical students to identify and effectively communicate with limited-literacy patients regarding cancer screening,introduction
95,29,11440064,,introduction
96,30,16161515,To evaluate the efficacy of a health promotion initiative on men's knowledge of testicular cancer and self-examination rates,introduction
97,30,16161515,,introduction
98,31,10937002,"This study assessed whether the Learn, Share &amp; Live breast cancer education program resulted in favorable, replicable, and sustainable outcomes",introduction
99,31,10937002,,introduction
100,32,29129894,"In Japan, the rate of cervical cancer screening is remarkably low, especially among women in their twenties and thirties, when cervical cancer is now increasing dramatically",introduction
101,32,29129894," The aim of this study was to test whether a modified government reminder for 20-year-old women to engage in cervical cancer screening, acting through maternal education and by asking for a maternal recommendation to the daughter to receive the screening, could increase their participation rate",introduction
102,32,29129894,,introduction
103,33,12737857,"Although dietary fibre has been reported to have no association with colorectal adenoma and cancer, in some studies this topic remains controversial",introduction
104,33,12737857,,introduction
105,34,29086522,The aim of this study was to test the efficacy of technology-based weight loss interventions for endometrial cancer (EC) survivors with obesity,introduction
106,34,29086522,,introduction
107,35,11142528,Epidemiological studies have suggested a protective effect of vegetables and fruits on urinary tract cancer but the possible protective nutrients are unknown,introduction
108,35,11142528," We studied the effect of alpha-tocopherol (a form of vitamin E) and beta-carotene supplementation on urinary tract cancer in the Alpha-Tocopherol, Beta-Carotene Cancer Prevention (ATBC) Study",introduction
109,35,11142528,,introduction
110,36,12105288,"The objective was to develop effective weight-loss methods for women who have had breast cancer, because obesity may result in an adverse prognosis",introduction
111,36,12105288,,introduction
112,37,28754540,We evaluated the efficacy of the web based P3P (Personal Patient Profile-Prostate) decision aid vs usual care with regard to decisional conflict in men with localized prostate cancer,introduction
113,37,28754540,,introduction
114,38,21667048,Associations between psychological factors and cancer survival have been under debate,introduction
115,38,21667048," We retrospectively explored the effect of the Cancer Care Intervention (CCI), an individually delivered cognitive behavioral symptom management intervention on survival in individuals with cancer",introduction
116,38,21667048,,introduction
117,39,24531742,This pilot study aimed to investigate the feasibility of two different training programs in patients with advanced gastrointestinal cancer undergoing palliative chemotherapy,introduction
118,39,24531742," Potential effects of training programs on the patients' quality of life, physical performance, physical activity in daily living, and biological parameters were exploratorily evaluated",introduction
119,39,24531742,,introduction
120,40,30712739,Interactive guided imagery (IGI) and progressive muscle relaxation (PMR) are complementary therapies with a recognised positive effect on cancer pain relief,introduction
121,40,30712739, This multicentre randomised controlled trial was designed to assess the adjuvant effect of PMR-IGI in alleviating pain in a sample of hospice patients with terminal cancer,introduction
122,40,30712739,,introduction
123,41,26694846,Fatigue is a common problem among colon cancer patients and typically increases during chemotherapy,introduction
124,41,26694846, Exercise during chemotherapy might have beneficial effects on fatigue,introduction
125,41,26694846," To investigate the short- and long-term effects of an exercise program in colon cancer patients during adjuvant treatment, the Physical Activity During Cancer Treatment study was conducted",introduction
126,41,26694846,,introduction
127,42,27228264,"The aims of this study were to evaluate the efficacy of the 2 types of couple-focused group interventions on couples' psychological and relationship functioning, and to examine possible moderators for each intervention",introduction
128,42,27228264,,introduction
129,43,14981223,To compare the efficacy of different weight loss regimens on body weight loss and metabolic improvement in breast cancer survivors,introduction
130,43,14981223,,introduction
131,44,12575603,To study the regulatory effect of Liandai Capsule on p21ras and mutant p53 protein expression in gastrointestinal (GI) neoplasm,introduction
132,44,12575603,,introduction
