Feature;Description;Tag
drug;13 cis retinoic acid and interferon alpha 2a;No
drug;2 methoxyestradiol;No
drug;20 s 9 nitrocamptothecin;No
drug;20 s camptothecin;No
drug;4  iodo 4  deoxydoxorubicin;No
drug;4  o tetrahydropyranyl adriamycin;No
drug;4 ipomeanol;No
drug;5 aminolaevulinic;No
drug;5 azacytidine;No
drug;5 fluorouracil;No
drug;5 fu;No
drug;7 cyanoquinocarcinol;No
drug;9 aminocamptothecin;No
other interventions;a bi ni xi ya mo yao;Yes
other interventions;a er tai yin lian hua;Yes
other interventions;a la bo jiao;Yes
other interventions;a li shan wu wei zi;Yes
other interventions;a li zhi zhang;Yes
other interventions; jin xuan shen;Yes
surgery;ablation;No
drug;abraxane;No
other interventions;abrus cantoniensis;Yes
other interventions;abrus precatorius;Yes
other interventions;abutilon theophrasti;Yes
other interventions;acacia catechu;Yes
other interventions;acacia senegal;Yes
other interventions;acacia seyal;Yes
other interventions;acalypha australis;Yes
other interventions;acanthopanax gracilistylus;Yes
other interventions;acanthopanax senticosus;Yes
other interventions;acanthopanax sessiliflorus;Yes
other interventions;acanthopanax spinosum;Yes
psychologic interventions;acceptance therapy;Yes
other interventions;acetum;Yes
other interventions;acetylcysteine;Yes
other interventions;achillea;Yes
other interventions;achillea millefolium;Yes
other interventions;achyranthes bidentata;Yes
drug;aclarubicin;No
other interventions;aconitum anthora;Yes
other interventions;aconitum autumnale;Yes
other interventions;aconitum carmichaeli;Yes
other interventions;aconitum fischeri reich;Yes
other interventions;aconitum inse;Yes
other interventions;aconitum mandschuricum;Yes
other interventions;aconitum variegatum;Yes
other interventions;aconitumycoctonum;Yes
other interventions;acorus angustatus;Yes
other interventions;acorus calamus;Yes
other interventions;acorus gramineus;Yes
psychologic interventions;acoustic stimulation;Yes
physical interventions;actimarch;Yes
other interventions;actinidia polygama;Yes
other interventions;actinidia sinensis;Yes
other interventions;actinolite asbestus;Yes
physical interventions;actinotherapies;Yes
physical interventions;actinotherapy;Yes
physical interventions;active exercise;Yes
physical interventions;activity management;Yes
physical interventions;acupressure;Yes
physical interventions;acupuncture;Yes
physical interventions;acupuncture analgesia;Yes
physical interventions;acupuncture ear;Yes
physical interventions;acupuncture points;Yes
physical interventions;acupuncture therapy;Yes
psychologic interventions;adaptation psychological;Yes
other interventions;adenophora verticillata;Yes
other interventions;adjunct;Yes
other interventions;adjunctive;Yes
other interventions;adjuvant;Yes
invasive treatment;administered intravenously;No
other interventions;adonis amurensis;Yes
drug;adozelesin;No
nutritional interventions;adrenal cortex extract;Yes
drug;adriamycin;No
psychologic interventions;advance care plan;Yes
other interventions;advitha kriya dhanwantrai prakriya;Yes
physical interventions;aerobic;Yes
other interventions;aesculus hippocastanum;Yes
other interventions;aetherolea;Yes
other interventions;african traditional medicine;Yes
other interventions;agaricus;Yes
other interventions;agaricus blazei;Yes
other interventions;agaricus comatus;Yes
other interventions;agastache rugosa;Yes
nutritional interventions;agni casti;Yes
other interventions;agrimonia eupatoria;Yes
other interventions;agrimonia pilosa;Yes
other interventions;agropyrum repens;Yes
other interventions;ai di cha;Yes
other interventions;ai na xiang;Yes
other interventions;ai pian;Yes
other interventions;ai ye;Yes
other interventions;ailanthus altissima;Yes
other interventions;ajuga decumbens;Yes
other interventions;ajuga pantantha;Yes
other interventions;akebia guinata;Yes
other interventions;akebia quinata;Yes
other interventions;akebia trifoliata;Yes
other interventions;akebiaobata;Yes
other interventions;albizzia julibrissin;Yes
nutritional interventions;alcoholic beverages;Yes
drug;alemtuzumab;No
psychologic interventions;alexander technique;Yes
other interventions;alfalfa;Yes
nutritional interventions;alga;Yes
other interventions;alisma orientale;Yes
other interventions;alisma plantago;Yes
drug;alitretinoin;No
other interventions;allicin;Yes
other interventions;allium fistulosum;Yes
other interventions;allium officinarum;Yes
other interventions;allium sativum;Yes
other interventions;allium tuberosum;Yes
other exclusion words;allogeneic ;No
surgery;allografting;No
other interventions;allolobophora caliginosa;Yes
drug;allopurinol;No
nutritional interventions;allyl sulfide;Yes
other interventions;alocasia macrorrhiza;Yes
other interventions;aloe;Yes
other interventions;aloe barbadensis;Yes
other interventions;aloe ferox;Yes
other interventions;aloe vera;Yes
nutritional interventions;alpha carotene;Yes
drug;alpha difluoromethylornithine;No
drug;alpha fetoprotein;No
nutritional interventions;alpha linolenic acid;Yes
nutritional interventions;alpha lipoic acid;Yes
nutritional interventions;alpha tocopherol;Yes
other interventions;alpinia galanga;Yes
other interventions;alpinia officiarum;Yes
other interventions;alternanthera sessilis;Yes
psychologic interventions;alternative care;Yes
psychologic interventions;alternative follow up;Yes
psychologic interventions;alternative medicine;Yes
drug;altretamine;No
other interventions;alumen;Yes
drug;amifostine;No
drug;amikacin;No
nutritional interventions;amino acid supplement;Yes
nutritional interventions;amino acid supplementation;Yes
nutritional interventions;amino acids;Yes
nutritional interventions;amino acids branched chain;Yes
drug;aminoglutethimide;No
drug;aminogluthimide;No
drug;aminopterin;No
physical interventions;ammotherapy;Yes
other interventions;amomum cardamum  ;Yes
other interventions;amomum medium;Yes
other interventions;amomum tsao ko;Yes
other interventions;amomum xanthioides;Yes
drug;amonafide;No
other interventions;ampelopsis japonica;Yes
other interventions;ampelopsis sinica;Yes
surgery;amputation;No
physical interventions;amputee rehabilitation;Yes
other interventions;amygdalin;Yes
other interventions;amygdalus davidiana;Yes
other interventions;amygdalus persica;Yes
other interventions;an nan zi;Yes
other interventions;an shu ye;Yes
other interventions;an xi xiang;Yes
invasive treatment;analgesic injection;No
invasive treatment;analgesic injections;No
drug;anandron;No
medical examination;anascopy;No
drug;anastrozole;No
other interventions;androgaphis paniculata;Yes
other interventions;anemarrhena asphodeloides;Yes
other interventions;anemone altaica;Yes
other interventions;anemone chinensis;Yes
other interventions;anenthum graveolens;Yes
psychologic interventions;anesthetic hypnosis;Yes
other interventions;angelica anomala;Yes
other interventions;angelica glabra;Yes
other interventions;angelica grosserrata;Yes
other interventions;angelica sinensis;Yes
other interventions;angelicae sinensis;Yes
psychologic interventions;anger management;Yes
psychologic interventions;anger therapy;Yes
other interventions;animal assist;Yes
other interventions;animal assisted;Yes
other interventions;anisum stellatum;Yes
drug;annamycin;No
other interventions;annona muricata;Yes
other interventions;annonaceae;Yes
other interventions;anredera cordifolia;Yes
drug;anthracycline;No
other interventions;anti wrinkle;Yes
other exclusion words;antigen;No
nutritional interventions;antioxidant dietary;Yes
nutritional interventions;antioxidant enzyme;Yes
nutritional interventions;antioxidant supplement;Yes
nutritional interventions;antioxidant supplementation;Yes
nutritional interventions;antioxidant therapy;Yes
drug;antipurine antifolate lometrexol;No
medical device;antireflux;No
drug;anvirzel;No
other interventions;ao zhou cha shu you;Yes
psychologic interventions;apa program;Yes
psychologic interventions;apad program;Yes
drug;apaziquone;No
other interventions;apis cerana;Yes
other interventions;apis mellifera;Yes
nutritional interventions;apitherapies;Yes
nutritional interventions;apitherapy;Yes
other interventions;apocynum venetum;Yes
nutritional interventions;apple pectin;Yes
psychologic interventions;applied behavior;Yes
physical interventions;aprons;Yes
physical interventions;aquatic floats;Yes
other interventions;aquilaria agallocha;Yes
psychologic interventions;arabic medicine;Yes
drug;arabino furanosyl 5 azacyticline;No
drug;arbekacin ;No
other interventions;arca granosaaeus;Yes
other interventions;arca inflata;Yes
other interventions;arca subcrenata;Yes
other interventions;arctium majus;Yes
other interventions;arctiumappa;Yes
other interventions;arctostaphylos;Yes
other interventions;ardisia japonica;Yes
other interventions;areca catechu;Yes
nutritional interventions;arginine;Yes
other interventions;argyreia acuta;Yes
other interventions;arisaemi japonicum;Yes
other interventions;aristolochia cinnabarina;Yes
other interventions;aristolochia contorta;Yes
other interventions;aristolochia debilis;Yes
other interventions;aristolochia fangchi;Yes
other interventions;aristolochia fordiana;Yes
other interventions;aristolochia kaempferi;Yes
other interventions;aristolochia mollissima;Yes
other interventions;aristolochia yunnanensis;Yes
other interventions;aristolochic acid;Yes
other interventions;armadillidium vulgare;Yes
other interventions;armeniaca  mume;Yes
other interventions;armoracia rusticana;Yes
other interventions;arnica montana  ;Yes
other interventions;aroma therapy;Yes
other interventions;aromatherapy;Yes
drug;arsenic trioxide;No
psychologic interventions;art;Yes
psychologic interventions;art therapy;Yes
other interventions;arteannuin;Yes
other interventions;artemisia;Yes
other interventions;artemisia absinthium;Yes
other interventions;artemisia annua;Yes
other interventions;artemisia anomala;Yes
other interventions;artemisia apiacea;Yes
other interventions;artemisia capillaris;Yes
other interventions;artemisia cina;Yes
other interventions;artemisia vulgaris;Yes
other exclusion words;arterial ;No
invasive treatment;arterial infusion;No
medical examination;arthroscopy;No
physical interventions;articular motion;Yes
other exclusion words;artificial;No
drug;arzoxifene;No
other interventions;asarum sieboldi;Yes
other interventions;ascorbic acid;Yes
drug;asermertinib;No
physical interventions;ashtanga;Yes
drug;asparaginase;No
other interventions;asparagusucidus;Yes
other interventions;astaxanthin;Yes
other interventions;aster tataricus;Yes
other interventions;astragalus;Yes
other interventions;astragalus complanatus;Yes
other interventions;astragalus hoantchy;Yes
other interventions;astragalus membranaceus;Yes
other interventions;astragalus mongholicus;Yes
other interventions;astragalus plant;Yes
nutritional interventions;atherogenic diet;Yes
nutritional interventions;atkins diet;Yes
drug;atofluding;No
other interventions;atractylodes japonica;Yes
other interventions;atractylodes macrocephala;Yes
other interventions;atractylodes ovata;Yes
psychologic interventions;attachment therapy;Yes
psychologic interventions;attitude of health personnel;Yes
numerical interventions;attitude to computers;Yes
other interventions;aucklandia costus;Yes
other interventions;aucklandiaappa;Yes
psychologic interventions;audiotape;Yes
psychologic interventions;audiotaped;Yes
numerical interventions;audiovisual aids;Yes
physical interventions;auricular acupressure;Yes
physical interventions;auricular acupuncture;Yes
physical interventions;auricular point;Yes
other interventions;auricularia auricula;Yes
physical interventions;auriculotherapies;Yes
physical interventions;auriculotherapy;Yes
psychologic interventions;autogenic train;Yes
psychologic interventions;autogenic training;Yes
surgery;autografting;No
other exclusion words;autologous;No
psychologic interventions;autosuggestion;Yes
psychologic interventions;aversive therapy;Yes
drug;aviscumine;No
nutritional interventions;avocado soybean unsaponifiables;Yes
psychologic interventions;awareness;Yes
psychologic interventions;ayurveda;Yes
psychologic interventions;ayurvedic;Yes
drug;aza anthracenedione;No
other interventions;azadirachta indica;Yes
drug;azidothymidine;No
other interventions;ba dou;Yes
other interventions;ba ji tian;Yes
other interventions;ba jiao feng;Yes
other interventions;ba jiao hui huang;Yes
other interventions;ba jiao hui xiang;Yes
other interventions;ba qia;Yes
other interventions;ba wang hua;Yes
other interventions;ba xian cao;Yes
other interventions;ba yue za;Yes
other interventions;ba zhen tang;Yes
other interventions;baa gui cha  ma dai cha;Yes
other interventions;bach flower;Yes
drug;bacillus calmette guerin;No
other interventions;bacopa monniera;Yes
other interventions;baeckea frutescens;Yes
physical interventions;bags;Yes
other interventions;bai bei ye;Yes
other interventions;bai bian dou;Yes
other interventions;bai bu;Yes
other interventions;bai chang shan;Yes
other interventions;bai dou kou;Yes
other interventions;bai fan;Yes
other interventions;bai guo;Yes
other interventions;bai he;Yes
other interventions;bai hua she she cao;Yes
other interventions;bai hua teng;Yes
other interventions;bai ji;Yes
other interventions;bai ji li;Yes
other interventions;bai jiang cao;Yes
other interventions;bai jie cai;Yes
other interventions;bai jie zi;Yes
other interventions;bai lian;Yes
other interventions;bai mu er;Yes
other interventions;bai mu tong;Yes
other interventions;bai qian;Yes
other interventions;bai shao;Yes
other interventions;bai shou wu;Yes
other interventions;bai shu you;Yes
other interventions;bai tou weng;Yes
other interventions;bai wei;Yes
other interventions;bai xian;Yes
other interventions;bai ying;Yes
other interventions;bai zhi;Yes
other interventions;bai zhu;Yes
other interventions;bai zi ren;Yes
physical interventions;balance pads;Yes
physical interventions;balneology;Yes
physical interventions;balneotherapies;Yes
physical interventions;balneotherapy;Yes
other interventions;ban bian lian;Yes
other interventions;ban mao;Yes
other interventions;ban xia;Yes
other interventions;ban zhi lian;Yes
other interventions;banan gen;Yes
other interventions;bao shuian;Yes
physical interventions;baseball;Yes
other interventions;basidiomycota;Yes
physical interventions;basketball;Yes
physical interventions;bates method;Yes
physical interventions;bath cubes;Yes
physical interventions;baths;Yes
other interventions;bazhen tang;Yes
other interventions;bazhen wang;Yes
drug;bcl 2 antisense oligonucleotide;No
nutritional interventions;beer;Yes
other interventions;begonia fimbristipula;Yes
psychologic interventions;behavior therapy;Yes
psychologic interventions;behavioral approach;Yes
