Mesh_Expression;SubCategory;Category
Attitude to Computers;eHealth Device;numerical interventions
Audiovisual Aids;eHealth Device;numerical interventions
Cell Phone;eHealth Device;numerical interventions
Computer Assisted Instruction;eHealth Device;numerical interventions
Computer Assisted Therapy;eHealth Device;numerical interventions
Computer Systems;eHealth Device;numerical interventions
Computers;eHealth Device;numerical interventions
Computers Handheld;eHealth Device;numerical interventions
Diagnosis Computer Assisted;eHealth Device;numerical interventions
Educational Technology;eHealth Device;numerical interventions
Electronic Nicotine Delivery Systems;eHealth Device;numerical interventions
Fitness Trackers;eHealth Device;numerical interventions
Internet;eHealth Device;numerical interventions
Mobile Applications;eHealth Device;numerical interventions
Reminder Systems;eHealth Device;numerical interventions
Smartphone;eHealth Device;numerical interventions
Tape Recording;eHealth Device;numerical interventions
Telemedicine;eHealth Device;numerical interventions
Telephone;eHealth Device;numerical interventions
Text Messaging;eHealth Device;numerical interventions
User Computer Interface;eHealth Device;numerical interventions
Vaping;eHealth Device;numerical interventions
Video Games;Therapeutic Game;numerical interventions
Video Recording;eHealth Device;numerical interventions
Videoconferencing;eHealth Device;numerical interventions
Videotape Recording;eHealth Device;numerical interventions
Virtual Reality;Virtual Reality Therapy;numerical interventions
Virtual Reality Exposure Therapy;Virtual Reality Therapy;numerical interventions
Alcoholic Beverages;Nutritional Therapy;nutritional interventions
alpha Tocopherol;Dietary Supplement;nutritional interventions
Amino Acids;Dietary Supplement;nutritional interventions
Amino Acids Branched Chain;Dietary Supplement;nutritional interventions
Arginine;Dietary Supplement;nutritional interventions
Ascorbic Acid;Dietary Supplement;nutritional interventions
Atherogenic Diet;Nutritional Therapy;nutritional interventions
Beer;Nutritional Therapy;nutritional interventions
beta Carotene;Dietary Supplement;nutritional interventions
beta Glucans;Dietary Supplement;nutritional interventions
Beverages;Nutritional Therapy;nutritional interventions
Bifidobacterium;Dietary Supplement;nutritional interventions
Brassica;Nutritional Therapy;nutritional interventions
Brassicaceae;Nutritional Therapy;nutritional interventions
Butter;Nutritional Therapy;nutritional interventions
Buttermilk;Nutritional Therapy;nutritional interventions
Caffeine;Nutritional Therapy;nutritional interventions
Calcifediol;Dietary Supplement;nutritional interventions
Calcium;Dietary Supplement;nutritional interventions
Calcium Carbonate;Dietary Supplement;nutritional interventions
Calcium Compounds;Dietary Supplement;nutritional interventions
Calcium Dietary;Nutritional Therapy;nutritional interventions
Caloric Restriction;Nutritional Therapy;nutritional interventions
Carbohydrate Loading;Nutritional Therapy;nutritional interventions
Carbohydrate Loading Diet;Nutritional Therapy;nutritional interventions
Carbohydrate Restricted;Nutritional Therapy;nutritional interventions
Carbohydrate Restricted Diet;Nutritional Therapy;nutritional interventions
Chewing Gum;Dietary Supplement;nutritional interventions
Cholecalciferol;Dietary Supplement;nutritional interventions
coenzyme Q10;Dietary Supplement;nutritional interventions
Coffee;Nutritional Therapy;nutritional interventions
Corn Oil;Nutritional Therapy;nutritional interventions
Cottonseed Oil;Nutritional Therapy;nutritional interventions
Creatine;Dietary Supplement;nutritional interventions
Cultured Milk Products;Nutritional Therapy;nutritional interventions
Dairy Products;Nutritional Therapy;nutritional interventions
Diabetic;Nutritional Therapy;nutritional interventions
Diabetic Diet;Nutritional Therapy;nutritional interventions
Diet;Nutritional Therapy;nutritional interventions
diet therapy;Nutritional Therapy;nutritional interventions
Dietary Approaches To Stop Hypertension;Nutritional Therapy;nutritional interventions
Dietary Carbohydrates;Nutritional Therapy;nutritional interventions
Dietary Fats;Nutritional Therapy;nutritional interventions
Dietary Fats Unsaturated;Nutritional Therapy;nutritional interventions
Dietary Fiber;Nutritional Therapy;nutritional interventions
Dietary Supplements;Dietary Supplement;nutritional interventions
Donepezil;Dietary Supplement;nutritional interventions
Dried Yeast;Dietary Supplement;nutritional interventions
Drinking;Nutritional Therapy;nutritional interventions
Eggs;Nutritional Therapy;nutritional interventions
Eicosanoids;Dietary Supplement;nutritional interventions
Eicosapentaenoic Acid;Dietary Supplement;nutritional interventions
Energy Drinks;Nutritional Therapy;nutritional interventions
Energy Intake;Nutritional Therapy;nutritional interventions
Essential Fatty Acids;Dietary Supplement;nutritional interventions
Fads Diet;Nutritional Therapy;nutritional interventions
Fasting;Nutritional Therapy;nutritional interventions
Fat Restricted;Nutritional Therapy;nutritional interventions
Fat Restricted Diet;Nutritional Therapy;nutritional interventions
Feeding Behavior;Nutritional Therapy;nutritional interventions
Fish Oils;Dietary Supplement;nutritional interventions
Folic Acid;Dietary Supplement;nutritional interventions
Food;Nutritional Therapy;nutritional interventions
Food Drug Interactions;Nutritional Therapy;nutritional interventions
Fortified;Dietary Supplement;nutritional interventions
Fortified Food;Dietary Supplement;nutritional interventions
Fruit;Nutritional Therapy;nutritional interventions
Fruit and Vegetable Juices;Nutritional Therapy;nutritional interventions
Gefarnate;Dietary Supplement;nutritional interventions
Genistein;Dietary Supplement;nutritional interventions
Glucosinolates;Dietary Supplement;nutritional interventions
Glutamine;Dietary Supplement;nutritional interventions
Gluten Free;Nutritional Therapy;nutritional interventions
Gluten Free Diet;Nutritional Therapy;nutritional interventions
Healthy Diet;Nutritional Therapy;nutritional interventions
Herbal Teas;Nutritional Therapy;nutritional interventions
Hesperidin;Dietary Supplement;nutritional interventions
High Protein Low Carbohydrate;Nutritional Therapy;nutritional interventions
High Protein Low Carbohydrate Diet;Nutritional Therapy;nutritional interventions
Infant Formula;Nutritional Therapy;nutritional interventions
Ionomycin;Dietary Supplement;nutritional interventions
Isoflavones;Dietary Supplement;nutritional interventions
Isoprostanes;Dietary Supplement;nutritional interventions
Kefir;Nutritional Therapy;nutritional interventions
Ketogenic;Nutritional Therapy;nutritional interventions
Ketogenic Diet;Nutritional Therapy;nutritional interventions
Koumiss;Nutritional Therapy;nutritional interventions
Lactobacillus;Dietary Supplement;nutritional interventions
Lactobacillus casei;Dietary Supplement;nutritional interventions
Linoleic Acid;Dietary Supplement;nutritional interventions
Lycopene;Dietary Supplement;nutritional interventions
Macrobiotic;Nutritional Therapy;nutritional interventions
Macrobiotic Diet;Nutritional Therapy;nutritional interventions
Magnesium;Dietary Supplement;nutritional interventions
Magnesium Chloride;Dietary Supplement;nutritional interventions
Magnesium Hydroxide;Dietary Supplement;nutritional interventions
Magnesium Oxide;Dietary Supplement;nutritional interventions
Magnesium Silicates;Dietary Supplement;nutritional interventions
Magnesium Sulfate;Dietary Supplement;nutritional interventions
Margarine;Nutritional Therapy;nutritional interventions
Medicinal Teas;Nutritional Therapy;nutritional interventions
Mediterranean Diet;Nutritional Therapy;nutritional interventions
Milk;Nutritional Therapy;nutritional interventions
Milk Substitutes;Nutritional Therapy;nutritional interventions
Minerals;Dietary Supplement;nutritional interventions
Monounsaturated Fatty Acids;Dietary Supplement;nutritional interventions
Niacin;Dietary Supplement;nutritional interventions
Nutrition Therapy;Nutritional Therapy;nutritional interventions
Nutritional Physiological Phenomena;Nutritional Therapy;nutritional interventions
