,Unnamed: 0,journalname,pmid,text,response
111,5609,Archives of otolaryngology--head & neck surgery,15837897,bioadjuvant interferon alfaa isotretinoin vitamin e locally squamous head neck longterm followup among protocol died nine experienced progressive second acute promyelocytic leukemia occurred followup aerodigestive second tumors occurred among progressionfree percentages confidence interval confidence interval better historical squamous head neck approximately fortyfive entered iv squamous head neck surgical resection radiation bioadjuvant chemopreventive previously reported month followup isotretinoin interferon alfaa vitamin e bioadjuvant definitive local completed excluded development second tumors main measure longerterm month followup tertiary academic medical centers evaluate longterm isotretinoin interferon alfaa vitamin e locally squamous head neck bioadjuvant highly effective preventing second tumors role standard squamous head neck investigated squamous adjuvant head neck interferon alpha interferonalpha isotretinoin second recombinant proteins vitamin e interferon alpha interferonalpha recombinant proteins vitamin e isotretinoin,1
117,5651,"Archives of surgery (Chicago, Ill. : 1960)",16490895,gum chewing reduces ileus elective open sigmoid colectomy gum chewing elective open colon resection stimulate bowel motility decrease duration postoperative ileus communitybased teaching hospital thirtyfour undergoing elective open sigmoid resections recurrent diverticulitis feelings hunger flatus bowel movement length hospital stay complications gumchewing gumchewing chewed sugarless gum times daily hour discharge demographics intraoperative postoperative equivalent gumchewing tolerated gum passage flatus occurred postoperative hour gumchewing hour bowel movement occurred postoperative hour gumchewing hour feelings hunger felt postoperative hour gumchewing hour major complications either length hospital stay shorter gumchewing gum chewing speeds recovery elective open sigmoid resection stimulating bowel motility gum chewing inexpensive helpful adjunct postoperative colectomy chewing gum colectomy followup gastrointestinal motility ileus postoperative complications sigmoid diseases chewing gum,1
125,5892,JAMA,12851275,phytoestrogen supplements hot flashes isoflavone clover extract ice although provides evidence biological promensil neither supplement clinically important hot flashes symptoms menopause participants completed week protocol reductions daily hot flash count similar promensil rimostil placebo comparison placebo participants promensil confidence interval rimostil reduced hot flashes rapidly qualityoflife improvements adverse events comparable doubleblind placebocontrolled menopausal experiencing least hot flashes week conducted november march us medical centers recently postmenopausal sd since menopause experiencing hot flashes excluded vegetarians consumed soy products week took medications affecting isoflavone absorption demonstrating cardiovascular among hormone replacement interest therapies menopausal symptoms dietary supplements containing isoflavones widely alternatives hormonal therapies hot flashes paucity supporting measure change frequency hot flashes measured participant daily diaries secondary measures changes adverse events compare safety dietary supplements derived red clover placebo symptomatic menopausal week placebo runin participants randomly assigned promensil isoflavones rimostil isoflavones identical placebo followedup dietary supplements doubleblind method estrogens nonsteroidal hot flashes isoflavones menopause phytoestrogens plant extracts plant preparations postmenopause trifolium estrogens nonsteroidal isoflavones phytoestrogens plant extracts plant preparations,1
134,5927,JAMA,16467233,lowfat dietary pattern initiative dietary modification invasive incidence incident invasive occurred followup sd intervention participants reduced percentage energy fat comparison difference mostly maintained statistically increases vegetable fruit grain servings also made despite dietary changes evidence intervention reduced invasive followup period invasive intervention comparison hazard ratio confidence interval secondary analyses suggested potential interactions baseline aspirin estrogenprogestin status examination rates although protocol defined comparable intervention comparison similar seen analyses adjusting adherence intervention lowfat dietary pattern intervention reduce postmenopausal followup evaluate lowfat eating pattern postmenopausal participants randomly assigned dietary modification intervention comparison intensive behavioral modification program aimed motivate support reductions dietary fat increase consumption vegetables fruits increase grain servings sessions selfmonitoring techniques tailored targeted strategies comparison continued usual eating pattern observational polyp conclusive regarding lowfat dietary pattern necessitating prevention initiative dietary modification conducted postmenopausal recruited centers throughout united states adenoma aspirin colonic polyps diet fatrestricted estrogen replacement followup incidence likelihood functions postmenopause prevention proportional hazards models aspirin,1
137,5935,JAMA,17635889,influence diet vegetables fruit fiber fat prognosis following healthy eating living whel multiinstitutional dietary change previously early old diagnosis enrolled followed june intervention randomly assigned receive telephone counseling program supplemented cooking classes newsletters promoted daily targets vegetable servings plus oz vegetable juice fruit servings g fiber energy intake fat comparison provided print materials describing aday dietary guidelines invasive event new death cause comparable dietary patterns baseline conservative imputation intervention achieved maintained following statistically differences comparison servings vegetables fruit fiber energy intake fat plasma carotenoid concentrations validated changes fruit vegetable intake throughout similar followup intervention comparison experienced invasive event adjusted hazard ratio confidence interval intervention comparison died adjusted hazard ratio confidence interval interactions diet baseline demographics characteristics original baseline dietary pattern among survivors early adoption diet vegetables fruit fiber fat reduce additional events mortality followup period clinicaltrialsgov evidence lacking dietary pattern vegetables fruit fiber fat influence assess whether major increase vegetable fruit fiber intake decrease dietary fat intake reduces recurrent new allcause mortality among previously early diet diet fatrestricted diet mediterranean dietary fiber feeding behavior fruit local prognosis vegetables,1
200,7794,The Cochrane database of systematic reviews,31204791,psychosocial interventions informal caregivers people living increasingly recognised chronic condition growing population informal caregivers providing informal caregiving negatively affect wellbeing caregivers need synthesised account best evidence aid decisionmaking effective ways support caregivers individuals randomised quasirandomised comparing psychosocial interventions delivered informal caregivers adults affected individual basis usual psychosocial interventions nonpharmacological interventions involved interpersonal relationship caregivers healthcare professionals interventions delivered also caregiverpatient dyads interventions delivered caregivers individuals receiving palliative inpatient excluded caregiver qol secondary outcomes qol caregiver depression anxiety psychological distress physical status intervention satisfaction adverse pairs authors independently screened eligibility extracted conducted assessments synthesised findings metaanalysis possible reported remaining narrative synthesis nineteen reported english undertaken highincome countries targeted caregivers affected number cancers spanning newly diagnosed awaiting currently individuals posttreatment delivered interventions caregiverpatient dyads predominantly spousal dyads variation intervention delivery individual participants much heterogeneity across interventions though majority defined psychoeducational rated usual psychosocial interventions improve slightly caregiver qol immediately post intervention standardised difference smd confidence interval participants little caregiver qol smd participants postintervention lowquality evidencepsychosocial interventions probably little caregiver depression immediately onemonth postintervention smd participants moderatequality evidence psychosocial interventions little caregiver anxiety immediately postintervention smd participants depression threetosix smd participants postintervention qol six smd participants postintervention lowquality evidence uncertainty whether psychosocial interventions improve qol immediately smd participants caregiver anxiety threetosix smd participants postintervention lowquality evidence could pooled metaanalysis caregiver physical status found little immediately postintervention intervention postintervention caregiver satisfaction costeffectiveness interventions assessed interventions demonstrated good feasibility acceptabilitypsychosocial interventions probably little physical status immediately postintervention smd participants depression six postintervention smd participants moderatequality evidencepsychosocial interventions little caregiver psychological distress immediately onemonth smd participants seven smd participants postintervention depression immediately smd participants anxiety immediately smd participants six smd participants psychological distress immediately smd participants seven smd participants physical status six smd participants postintervention lowquality evidencethree reported adverse interventions usual including distress sexual functionrelated distress lower relationship satisfaction caregivers distress content perceived insensitive participantstrials able pooled metaanalysis tend report size difficult discern intervention effectiveness variable intervention reported caregiver outcomes searched central medline embase psycinfo proquest open sigle web science inception january registries citation lists assess effectiveness psychosocial interventions designed improve qol physical wellbeing informal caregivers people living usual heterogeneity across makes difficult draw firm conclusions regarding effectiveness psychosocial interventions population immediate need rigorous process evaluations clearer detailed intervention descriptions costeffectiveness conducted alongside future anxiety caregivers depression status topic,1
240,9064,Cancer medicine,29464877,navigation screening among current smokers community centers annual chest computed tomography decrease mortality highrisk individuals navigation improves screening rates underserved populations conducted february january evaluate impact navigation program screening lcs among current smokers five community centers chcs affiliated academic network smokers intervention usual navigators contacted determine lcs eligibility introduce shared decision making screening schedule appointments physicians pcps help overcome barriers obtaining screening followup usual main proportion chest secondary outcomes proportion contacted proportion receiving lcs cts screening number cancers diagnosed intervention contacted refused participation participants ineligible screening smoked packyears five competing comorbidities among eligible participants intervention chest intentiontotreat analyses intervention chest lcs cts intervention controls screened required followup diagnosed eight intervention four navigation program implemented chcs lcs among highrisk current smokers screening center navigation smokers community centers mass screening navigation smokers smoking,1
354,9539,Cancer,15139072,psychological adjustment sleep tibetan yoga intervention lymphoma eighty nine percent ty participants completed least yoga sessions completed least sessions ty reported lower sleep disturbance scores followup waitlist better subjective sleep faster sleep latency longer sleep duration less sleep medications differences terms intrusion avoidance state anxiety depression fatigue research suggests stressreduction programs tailored setting help cope improve yoga ancient eastern science incorporates stressreduction techniques include regulated breathing visual imagery meditation well various postures authors examined tibetan yoga ty practices tsa trul khor incorporate breathing visualization mindfulness techniques lowimpact postures lymphoma thirtynine lymphoma undergoing concluded within past assigned ty waitlist ty participated weekly yoga sessions waitlist participate ty program month followup assessment participation rates suggested ty program feasible program improves sleeprelated outcomes differences outcomes adaptation psychological lymphoma sleep stress psychological tibet yoga,1
394,9648,Cancer,15912493,evaluation shark cartilage north central twoarm placebocontrolled doubleblind incurable good performance status organ function could receiving receive standard randomly selected receive either shark cartilage product identicalappearing smelling placebo times shark cartilage popular complementary alternative medicine intervention basis popularity claim sharks rarely get proportion cartilage body early equivocal therefore conducted look impact shark cartilage goal determine whether shark cartilage product improved getting standard secondary research goals evaluate toxicities tolerability shark cartilage product unable demonstrate suggestion shark cartilage product evaluable analyzed difference receiving standard plus shark cartilage product standard plus placebo likewise suggestion improvement receiving shark cartilage receiving placebo animals cartilage complementary therapies doubleblind method placebos sharks tissue extracts placebos tissue extracts,1
413,9709,Cancer,16294343,pilot intervention enhance sexual rehabilitation couples localized fiftyone couples completed intervention attendance partner affect outcomes participants completing intervention demonstrated improvement distress global sexual function global sexual function month followup regression toward baseline noted month followup utilization ed treatments entry month followup majority survivors experience enduring sexual difficulties distress definitive counseling intervention aimed improving sexual satisfaction increasing successful utilization medical erectile dysfunction ed developed pilottested survivor partner participants month survivors localized radical prostatectomy radiation married committed relationship couples attend four sessions counseling together man attend alone partners completed behavioral homework sessions education sexual function options treat ed well sexual communication stimulation skills standardized questionnaires baseline posttreatment month month followup assessed sexual function marital adjustment psychologic distress utilization treatments ed brief pilot counseling intervention demonstrated gains sexual function satisfaction utilization treatments ed modifications needed future reduce premature termination improve longterm maintenance gains couples erectile dysfunction followup staging education topic satisfaction pilot projects probability prostatectomy prostatic highenergy assessment sex counseling,1
