,Unnamed: 0,Title,journalname,pmid,text,response
0,5609,"Phase 2 bioadjuvant study of interferon alfa-2a, isotretinoin, and vitamin E in locally advanced squamous cell carcinoma of the head and neck: long-term follow-up.",Archives of otolaryngology--head & neck surgery,15837897,"Among the 45 patients treated under the protocol, only 7 patients (16%) had died. Nine (20%) of 45 patients experienced progressive disease. Only 1 second primary tumor (acute promyelocytic leukemia) occurred during follow-up, and no aerodigestive second primary tumors occurred among the 45 patients. The 5-year progression-free survival and overall survival percentages were 80% (95% confidence interval, 65.1%-89.1%) and 81.3% (95% confidence interval, 63.7%-90.9%), respectively. These results are significantly better than the historical 5-year overall survival for advanced squamous cell carcinoma of the head and neck (approximately 40%). Forty-five patients entered this study. All patients had stage III or IV squamous cell carcinoma of the head and neck and had been treated with surgical resection, radiation, or both. All patients were then treated with bioadjuvant chemopreventive treatment for 12 months. We previously reported a 24-month median follow-up of this phase 2 trial of the combination of isotretinoin, interferon alfa-2a, and vitamin E as bioadjuvant therapy after definitive local therapy. In that study, all 45 patients completed treatment, but 1 patient was excluded from analysis of recurrence and development of second primary tumors. Main Outcome Measure Longer-term (49.4-month median) follow-up. Tertiary care academic medical centers. Phase 2 prospective study. To evaluate the long-term effects of the combination of isotretinoin, interferon alfa-2a, and vitamin E in locally advanced squamous cell carcinoma of the head and neck. The bioadjuvant combination is highly effective in preventing recurrence and second primary tumors, and its role as standard therapy in advanced squamous cell carcinoma of the head and neck is being investigated in a randomized phase 3 study. Antineoplastic Agents Carcinoma, Squamous Cell Chemotherapy, Adjuvant Drug Therapy, Combination Head and Neck Neoplasms Humans Interferon alpha-2 Interferon-alpha Isotretinoin Neoplasms, Second Primary Prospective Studies Recombinant Proteins Vitamin E",1
1,5651,Gum chewing reduces ileus after elective open sigmoid colectomy.,"Archives of surgery (Chicago, Ill. : 1960)",16490895,"Gum chewing after elective open colon resection may stimulate bowel motility and decrease duration of postoperative ileus. Prospective, randomized study in a community-based teaching hospital. Thirty-four patients undergoing elective open sigmoid resections for recurrent diverticulitis or cancer. First feelings of hunger, time to first flatus, time to first bowel movement, length of hospital stay, and complications. A total of 34 patients were randomized into 2 groups: a gum-chewing group (n = 17) or a control group (n = 17). The patients in the gum-chewing group chewed sugarless gum 3 times daily for 1 hour each time until discharge. Patient demographics, intraoperative, and postoperative care were equivalent between the 2 groups. All gum-chewing patients tolerated the gum. The first passage of flatus occurred on postoperative hour 65.4 in the gum-chewing group and on hour 80.2 in the control group (P = .05). The first bowel movement occurred on postoperative hour 63.2 in the gum-chewing group and on hour 89.4 in the control group (P = .04). The first feelings of hunger were felt on postoperative hour 63.5 in the gum-chewing group and on hour 72.8 in the control group (P = .27). There were no major complications in either group. The total length of hospital stay was shorter in the gum-chewing group (day 4.3) than in the control group (day 6.8), (P = .01). Gum chewing speeds recovery after elective open sigmoid resection by stimulating bowel motility. Gum chewing is an inexpensive and helpful adjunct to postoperative care after colectomy. Chewing Gum Colectomy Female Follow-Up Studies Gastrointestinal Motility Humans Ileus Male Middle Aged Postoperative Complications Prospective Studies Sigmoid Diseases Treatment Outcome",1
2,5892,Phytoestrogen supplements for the treatment of hot flashes: the Isoflavone Clover Extract (ICE) Study: a randomized controlled trial.,JAMA,12851275,"Although the study provides some evidence for a biological effect of Promensil, neither supplement had a clinically important effect on hot flashes or other symptoms of menopause. Of 252 participants, 246 (98%) completed the 12-week protocol. The reductions in mean daily hot flash count at 12 weeks were similar for the Promensil (5.1), Rimostil (5.4), and placebo (5.0) groups. In comparison with the placebo group, participants in the Promensil group (41%; 95% confidence interval [CI], 29%-51%; P =.03), but not in the Rimostil group (34%; 95% CI, 22%-46%; P =.74) reduced hot flashes more rapidly. Quality-of-life improvements and adverse events were comparable in the 3 groups. Randomized, double-blind, placebo-controlled trial of menopausal women, aged 45 to 60 years, who were experiencing at least 35 hot flashes per week. The study was conducted between November 1999 and March 2001 at 3 US medical centers and included women who were recently postmenopausal (mean [SD], 3.3 [4.5] years since menopause) experiencing 8.1 hot flashes per day. Women were excluded if they were vegetarians, consumed soy products more than once per week, or took medications affecting isoflavone absorption. Clinical trials demonstrating increased risk of cardiovascular disease and breast cancer among women randomized to hormone replacement therapy have increased interest in other therapies for menopausal symptoms. Dietary supplements containing isoflavones are widely used as alternatives to hormonal therapies for hot flashes, but there is a paucity of data supporting their efficacy. The primary outcome measure was the change in frequency of hot flashes measured by participant daily diaries. Secondary outcome measures included changes in quality of life and adverse events. To compare the efficacy and safety of 2 dietary supplements derived from red clover with placebo in symptomatic menopausal women. After a 2-week placebo run-in, 252 participants were randomly assigned to Promensil (82 mg of total isoflavones per day), Rimostil (57 mg of total isoflavones per day), or an identical placebo, and followed-up for 12 weeks. Dietary Supplements Double-Blind Method Estrogens, Non-Steroidal Female Hot Flashes Humans Isoflavones Menopause Middle Aged Phytoestrogens Plant Extracts Plant Preparations Postmenopause Quality of Life Trifolium",1
3,5927,Low-fat dietary pattern and risk of colorectal cancer: the Women's Health Initiative Randomized Controlled Dietary Modification Trial.,JAMA,16467233,"Invasive colorectal cancer incidence. A total of 480 incident cases of invasive colorectal cancer occurred during a mean follow-up of 8.1 (SD, 1.7) years. Intervention group participants significantly reduced their percentage of energy from fat by 10.7% more than did the comparison group at 1 year, and this difference between groups was mostly maintained (8.1% at year 6). Statistically significant increases in vegetable, fruit, and grain servings were also made. Despite these dietary changes, there was no evidence that the intervention reduced the risk of invasive colorectal cancer during the follow-up period. There were 201 women with invasive colorectal cancer (0.13% per year) in the intervention group and 279 (0.12% per year) in the comparison group (hazard ratio, 1.08; 95% confidence interval, 0.90-1.29). Secondary analyses suggested potential interactions with baseline aspirin use and combined estrogen-progestin use status (P = .01 for each). Colorectal examination rates, although not protocol defined, were comparable between the intervention and comparison groups. Similar results were seen in analyses adjusting for adherence to the intervention. In this study, a low-fat dietary pattern intervention did not reduce the risk of colorectal cancer in postmenopausal women during 8.1 years of follow-up. ClinicalTrials.gov Identifier: NCT00000611. To evaluate the effects of a low-fat eating pattern on risk of colorectal cancer in postmenopausal women. Participants were randomly assigned to the dietary modification intervention (n = 19,541; 40%) or the comparison group (n = 29,294; 60%). The intensive behavioral modification program aimed to motivate and support reductions in dietary fat, to increase consumption of vegetables and fruits, and to increase grain servings by using group sessions, self-monitoring techniques, and other tailored and targeted strategies. Women in the comparison group continued their usual eating pattern. Observational studies and polyp recurrence trials are not conclusive regarding the effects of a low-fat dietary pattern on risk of colorectal cancer, necessitating a primary prevention trial. The Women's Health Initiative Dietary Modification Trial, a randomized controlled trial conducted in 48,835 postmenopausal women aged 50 to 79 years recruited between 1993 and 1998 from 40 clinical centers throughout the United States. Adenoma Aged Aspirin Colonic Polyps Colorectal Neoplasms Diet, Fat-Restricted Estrogen Replacement Therapy Female Follow-Up Studies Humans Incidence Likelihood Functions Middle Aged Postmenopause Primary Prevention Proportional Hazards Models Risk Risk Factors",1
4,5935,"Influence of a diet very high in vegetables, fruit, and fiber and low in fat on prognosis following treatment for breast cancer: the Women's Healthy Eating and Living (WHEL) randomized trial.",JAMA,17635889,"Multi-institutional randomized controlled trial of dietary change in 3088 women previously treated for early stage breast cancer who were 18 to 70 years old at diagnosis. Women were enrolled between 1995 and 2000 and followed up through June 1, 2006. The intervention group (n = 1537) was randomly assigned to receive a telephone counseling program supplemented with cooking classes and newsletters that promoted daily targets of 5 vegetable servings plus 16 oz of vegetable juice; 3 fruit servings; 30 g of fiber; and 15% to 20% of energy intake from fat. The comparison group (n = 1551) was provided with print materials describing the ""5-A-Day"" dietary guidelines. Invasive breast cancer event (recurrence or new primary) or death from any cause. From comparable dietary patterns at baseline, a conservative imputation analysis showed that the intervention group achieved and maintained the following statistically significant differences vs the comparison group through 4 years: servings of vegetables, +65%; fruit, +25%; fiber, +30%, and energy intake from fat, -13%. Plasma carotenoid concentrations validated changes in fruit and vegetable intake. Throughout the study, women in both groups received similar clinical care. Over the mean 7.3-year follow-up, 256 women in the intervention group (16.7%) vs 262 in the comparison group (16.9%) experienced an invasive breast cancer event (adjusted hazard ratio, 0.96; 95% confidence interval, 0.80-1.14; P = .63), and 155 intervention group women (10.1%) vs 160 comparison group women (10.3%) died (adjusted hazard ratio, 0.91; 95% confidence interval, 0.72-1.15; P = .43). No significant interactions were observed between diet group and baseline demographics, characteristics of the original tumor, baseline dietary pattern, or breast cancer treatment. Among survivors of early stage breast cancer, adoption of a diet that was very high in vegetables, fruit, and fiber and low in fat did not reduce additional breast cancer events or mortality during a 7.3-year follow-up period. clinicaltrials.gov Identifier: NCT00003787. Evidence is lacking that a dietary pattern high in vegetables, fruit, and fiber and low in total fat can influence breast cancer recurrence or survival. To assess whether a major increase in vegetable, fruit, and fiber intake and a decrease in dietary fat intake reduces the risk of recurrent and new primary breast cancer and all-cause mortality among women with previously treated early stage breast cancer. Adult Aged Breast Neoplasms Diet Diet, Fat-Restricted Diet, Mediterranean Dietary Fiber Feeding Behavior Female Fruit Humans Middle Aged Neoplasm Recurrence, Local Prognosis Vegetables",1
5,7794,Psychosocial interventions for informal caregivers of people living with cancer.,The Cochrane database of systematic reviews,31204791,"Increasingly, cancer is recognised as a chronic condition with a growing population of informal caregivers providing care for cancer patients. Informal caregiving can negatively affect the health and well-being of caregivers. We need a synthesised account of best evidence to aid decision-making about effective ways to support caregivers for individuals 'living with cancer'. We included randomised and quasi-randomised controlled trials comparing psychosocial interventions delivered to adult informal caregivers of adults affected by cancer on a group or individual basis with usual care. Psychosocial interventions included non-pharmacological interventions that involved an interpersonal relationship between caregivers and healthcare professionals. We included interventions delivered also to caregiver-patient dyads. Interventions delivered to caregivers of individuals receiving palliative or inpatient care were excluded. Our primary outcome was caregiver QoL. Secondary outcomes included patient QoL, caregiver and patient depression, anxiety, psychological distress, physical health status and intervention satisfaction and adverse effects. Pairs of review authors independently screened studies for eligibility, extracted data and conducted 'Risk of bias' assessments. We synthesised findings using meta-analysis, where possible, and reported remaining results in a narrative synthesis. Nineteen trials (n = 3, 725) were included in the review. All trials were reported in English and were undertaken in high-income countries. Trials targeted caregivers of patients affected by a number of cancers spanning newly diagnosed patients, patients awaiting treatment, patients who were being treated currently and individuals post-treatment. Most trials delivered interventions to caregiver-patient dyads (predominantly spousal dyads) and there was variation in intervention delivery to groups or individual participants. There was much heterogeneity across interventions though the majority were defined as psycho-educational. All trials were rated as being at 'high risk of bias'.Compared to usual care, psychosocial interventions may improve slightly caregiver QoL immediately post intervention (standardised mean difference (SMD) 0.29, 95% confidence interval (CI) 0.04 to 0.53; studies = 2, 265 participants) and may have little to no effect on caregiver QoL at 12 months (SMD 0.14, 95% CI - 0.11 to 0.40; studies = 2, 239 participants) post-intervention (both low-quality evidence).Psychosocial interventions probably have little to no effect on caregiver depression immediately to one-month post-intervention (SMD 0.01, 95% CI -0.14 to 0.15; studies = 9, 702 participants) (moderate-quality evidence). Psychosocial interventions may have little to no effect on caregiver anxiety immediately post-intervention (SMD -0.12, 95 % CI -0.33 to 0.10; studies = 5, 329 participants), depression three-to-six months (SMD 0.03, 95% CI -0.33 to 0.38; studies = 5. 379 participants) post-intervention and patient QoL six to 12 months (SMD -0.05, 95% CI -0.37 to 0.26; studies = 3, 294 participants) post-intervention (all low-quality evidence). There was uncertainty whether psychosocial interventions improve patient QoL immediately (SMD -0.03, 95 %CI -0.50 to 0.44; studies = 2, 292 participants) or caregiver anxiety three-to-six months (SMD-0.25, 95% CI -0.64 to 0.13; studies = 4, 272 participants) post-intervention (both very low-quality evidence). Two studies which could not be pooled in a meta-analysis for caregiver physical health status found little to no effect immediately post-intervention and a small intervention effect 12 months post-intervention. Caregiver or patient satisfaction or cost-effectiveness of interventions were not assessed in any studies. Interventions demonstrated good feasibility and acceptability.Psychosocial interventions probably have little to no effect on patient physical health status immediately post-intervention (SMD 0.17, 95 % CI -0.07 to 0.41; studies = 4, 461 participants) and patient depression three to six months post-intervention (SMD-0.11, 95% CI -0.33 to 0.12; studies = 6, 534 participants) (both moderate-quality evidence).Psychosocial interventions may have little to no effect on caregiver psychological distress immediately to one-month (SMD -0.08, 95% CI -0.42 to 0.26; studies = 3, 134 participants), and seven to 12 months (SMD 0.08, 95% CI -0.42 to 0.58; studies = 2, 62 participants) post-intervention; patient depression immediately (SMD -0.12, 95% CI -0.31 to 0.07; studies = 9, 852 participants); anxiety immediately (SMD -0.13, 95% CI -0.41 to 0.15;studies = 4, 422 participants), and three to six months (SMD -0.22, 95% CI -0.45 to 0.02; studies = 4, 370 participants); psychological distress immediately (SMD -0.02, 95% CI -0.47 to 0.44; studies = 2, 74 participants) and seven to 12 months (SMD -0.27, 95% CI -0.78 to 0.24; studies = 2, 61 participants); and physical health status six to 12 months (SMD 0.06, 95% CI -0.18 to 0.30; studies = 2, 275 participants) post-intervention (all low-quality evidence).Three trials reported adverse effects associated with the interventions, compared with usual care, including higher distress, sexual function-related distress and lower relationship satisfaction levels for caregivers, higher distress levels for patients, and that some content was perceived as insensitive to some participants.Trials not able to be pooled in a meta-analysis did not tend to report effect size and it was difficult to discern intervention effectiveness. Variable intervention effects were reported for patient and caregiver outcomes. We searched CENTRAL, MEDLINE, Embase, PsycINFO, ProQuest, Open SIGLE, Web of Science from inception up to January 2018, trial registries and citation lists of included studies. To assess the effectiveness of psychosocial interventions designed to improve the quality of life (QoL), physical health and well-being of informal caregivers of people living with cancer compared with usual care. Heterogeneity across studies makes it difficult to draw firm conclusions regarding the effectiveness of psychosocial interventions for this population. There is an immediate need for rigorous trials with process evaluations and clearer, detailed intervention descriptions. Cost-effectiveness studies should be conducted alongside future trials. Anxiety Caregivers Depression Health Status Humans Neoplasms Quality of Life Randomized Controlled Trials as Topic",1
6,9064,Patient navigation for lung cancer screening among current smokers in community health centers a randomized controlled trial.,Cancer medicine,29464877,"Annual chest computed tomography (CT) can decrease lung cancer mortality in high-risk individuals. Patient navigation improves cancer screening rates in underserved populations. Randomized controlled trial was conducted from February 2016 to January 2017 to evaluate the impact of a patient navigation program on lung cancer screening (LCS) among current smokers in five community health centers (CHCs) affiliated with an academic primary care network. We randomized 1200 smokers aged 55-77 years to intervention (n = 400) or usual care (n = 800). Navigators contacted patients to determine LCS eligibility, introduce shared decision making about screening, schedule appointments with primary care physicians (PCPs), and help overcome barriers to obtaining screening and follow-up. Control patients received usual care. The main outcome was the proportion of patients who had any chest CT. Secondary outcomes were the proportion of patients contacted, proportion receiving LCS CTs, screening results and number of lung cancers diagnosed. Of the 400 intervention patients, 335 were contacted and 76 refused participation. Of the 259 participants, 124 (48%) were ineligible for screening; 119 had smoked <30 pack-years, and five had competing comorbidities. Among the 135 eligible participants in the intervention group, 124 (92%) had any chest CT performed. In intention-to-treat analyses, 124 intervention patients (31%) had any chest CT versus 138 control patients (17.3%, P < 0.001). LCS CTs were performed in 94 intervention patients (23.5%) versus 69 controls (8.6%, P < 0.001). A total of 20% of screened patients required follow-up. Lung cancer was diagnosed in eight intervention (2%) and four control (0.5%) patients. A patient navigation program implemented in CHCs significantly increased LCS among high-risk current smokers. Aged Community Health Centers Female Humans Lung Neoplasms Male Mass Screening Middle Aged Patient Navigation Smokers Smoking",1
7,9539,Psychological adjustment and sleep quality in a randomized trial of the effects of a Tibetan yoga intervention in patients with lymphoma.,Cancer,15139072,"Eighty nine percent of TY participants completed at least 2-3 three yoga sessions, and 58% completed at least 5 sessions. Patients in the TY group reported significantly lower sleep disturbance scores during follow-up compared with patients in the wait-list control group (5.8 vs. 8.1; P < 0.004). This included better subjective sleep quality (P < 0.02), faster sleep latency (P < 0.01), longer sleep duration (P < 0.03), and less use of sleep medications (P < 0.02). There were no significant differences between groups in terms of intrusion or avoidance, state anxiety, depression, or fatigue. Research suggests that stress-reduction programs tailored to the cancer setting help patients cope with the effects of treatment and improve their quality of life. Yoga, an ancient Eastern science, incorporates stress-reduction techniques that include regulated breathing, visual imagery, and meditation as well as various postures. The authors examined the effects of the Tibetan yoga (TY) practices of Tsa lung and Trul khor, which incorporate controlled breathing and visualization, mindfulness techniques, and low-impact postures in patients with lymphoma. Thirty-nine patients with lymphoma who were undergoing treatment or who had concluded treatment within the past 12 months were assigned to a TY group or to a wait-list control group. Patients in the TY group participated in 7 weekly yoga sessions, and patients in the wait-list control group were free to participate in the TY program after the 3-month follow-up assessment. The participation rates suggested that a TY program is feasible for patients with cancer and that such a program significantly improves sleep-related outcomes. However, there were no significant differences between groups for the other outcomes. Adaptation, Psychological Female Humans Lymphoma Male Middle Aged Quality of Life Sleep Stress, Psychological Tibet Treatment Outcome Yoga",1
8,9648,Evaluation of shark cartilage in patients with advanced cancer: a North Central Cancer Treatment Group trial.,Cancer,15912493,"The study was a two-arm, randomized, placebo-controlled, double-blind, clinical trial. Patients with incurable breast or colorectal carcinoma had to have good performance status and organ function. Patients could be receiving chemotherapy. Patients were all to receive standard care and then to be randomly selected to receive either a shark cartilage product or an identical-appearing and smelling placebo 3 to 4 times each day. Shark cartilage has been a popular complementary or alternative medicine intervention. The basis for this popularity is the claim that sharks rarely get cancer because of the high proportion of cartilage in the shark's body. However, early studies were equivocal. Therefore, a clinical trial was conducted to look at the impact of shark cartilage in patients with advanced cancer. The primary goal of this trial was to determine whether a shark cartilage product improved overall survival for patients with advanced cancer who were getting standard care. Secondary research goals were to evaluate toxicities, tolerability, and quality of life associated with this shark cartilage product. This trial was unable to demonstrate any suggestion of efficacy for this shark cartilage product in patients with advanced cancer. Data on a total of 83 evaluable patients were analyzed. There was no difference in overall survival between patients receiving standard care plus a shark cartilage product versus standard care plus placebo. Likewise, there was no suggestion of improvement in quality of life for patients receiving the shark cartilage, compared with those receiving placebo. Aged Animals Breast Neoplasms Cartilage Colorectal Neoplasms Complementary Therapies Double-Blind Method Female Humans Male Middle Aged Placebos Quality of Life Sharks Survival Rate Tissue Extracts",1
9,9709,Pilot intervention to enhance sexual rehabilitation for couples after treatment for localized prostate carcinoma.,Cancer,16294343,"Fifty-one of 84 couples randomized to treatment completed the intervention (61%). Attendance by the partner did not affect outcomes. Participants completing the intervention demonstrated improvement in male overall distress (P < 0.01), male global sexual function (P < 0.0001), and female global sexual function (P < 0.05) at 3-month follow-up, but regression toward baseline was noted at 6-month follow-up. However, utilization of ED treatments increased from 31% at the time of study entry to 49% at the 6-month follow-up (P = 0.003). The majority of prostate carcinoma survivors experience enduring sexual difficulties and associated distress in the years after definitive treatment. A counseling intervention aimed at improving levels of sexual satisfaction and increasing successful utilization of medical treatment for erectile dysfunction (ED) was developed and pilot-tested for both the survivor of prostate carcinoma and his partner. All male participants were 3-month to 5-year survivors of localized prostate carcinoma who had been treated with radical prostatectomy or radiation therapy, and were married or in a committed relationship. Couples were randomized to attend four sessions of counseling together or to have the man attend alone. In both groups, partners completed behavioral homework. The sessions included education on prostate carcinoma and sexual function and options to treat ED as well as sexual communication and stimulation skills. Standardized questionnaires at baseline, posttreatment, and at 3-month and 6-month follow-up assessed sexual function, marital adjustment, psychologic distress, and utilization of treatments for ED. The results of this brief pilot counseling intervention demonstrated significant gains in sexual function and satisfaction and increased utilization of treatments for ED. However, modifications are needed in future randomized trials to reduce the rate of premature termination and to improve long-term maintenance of gains. Aged Carcinoma Couples Therapy Erectile Dysfunction Female Follow-Up Studies Humans Male Middle Aged Neoplasm Staging Patient Education as Topic Patient Satisfaction Pilot Projects Probability Prostatectomy Prostatic Neoplasms Quality of Life Radiotherapy, High-Energy Risk Assessment Sex Counseling Treatment Outcome",1
